Código;Alta;Baja;Media;Norte
Acalo;3;3;0;1
Adein;5;0;0;0
Altbo;45;13;0;226
Alyva;0;8;0;0
Amvi;1;0;0;0
Arian;0;0;10;1
Axoco;1149;0;49;375
Blepy;0;0;0;263
Boer;0;0;2;22
Bope;7;0;0;0
Bradi;0;0;0;5
Brafa;5;7;0;0
Calco;76;7;110;93
Calmo;0;0;0;260
Calre;0;0;2;0
Caygl;29;1;24;2
Cayra;0;0;16;0
Cenpl;0;0;0;33
Cepe;1;1;4;0
Cesc;1;0;30;0
Chaal;1;0;0;0
Chrde;0;0;0;6
Cisve;25;5;5;0
Comer;700;1138;524;721
Coral;2;1;0;0
Coror;0;3;0;2
Cyci;2;0;0;1
Cyco;8;0;0;4
Cyhe;13;1;1;14
Cyir;6;0;0;0
Cyla;0;0;0;29
Cylu;0;1;0;45
Cynda;13;0;0;0
Cynle;0;15;0;0
Cyod;159;32;122;29
Cypro;7;0;0;0
Cyro;0;30;32;0
Dessc;0;10;0;0
Digbi;3;5;0;74
Digci;12;37;47;0
Dolun;1;2;2;5
Dryco;0;0;0;191
Echico;19;26;84;249
Elein;0;16;32;18
Eleru;0;1;7;5
Emison;0;0;0;1
Eraam;0;0;3;0
Erbo;9;0;0;0
Euhi;113;51;51;2
Euphy;4;0;0;1
Evonu;76;0;0;0
Fidi;13;0;0;0
Fili;2;0;1;0
Hybat;0;15;13;19
Ind1;0;1;0;0
Ind2;0;1;0;0
Ind5;1;0;0;0
Ipome;1;0;0;0
Juca;0;0;0;1
Juco;6;87;37;0
Kypu;164;0;14;17
Lagsi;0;21;0;0
Lapae;2;0;3;32
Lepmu;44;23;89;5
Lepvi;0;26;0;0
Licru;526;10;31;4
Luder;7;0;3;28
Medi;1;0;0;3
Mepe;269;89;107;399
Mepy;0;0;0;1
Merum;7;0;0;2
Metri;9;18;0;20
Mide;344;12;16;169
Mobli;0;2;0;0
Mocha;4;0;1;0
Murnu;400;42;417;85
Odota;2;56;12;12
Olco;244;25;30;5
Oplbu;0;0;0;666
Paan;0;1;0;0
Pasco;61;0;0;53
Pasmi;0;0;3;0
Paspa;19;14;0;0
Patr;85;151;366;256
Pauma;0;1;0;0
Pepe;0;47;115;66
Pheso;3;0;0;0
Phihe;0;0;117;0
Phyni;94;86;78;85
Piad;0;0;0;17
Pilmi;25;0;3;0
Pima;16;0;0;0
Pipe;0;0;0;40
Pire;2;0;0;0
Pitca;0;5;7;6
Pitu;8;19;0;42
Pium;1;0;0;0
Porol;6;0;1;0
Prila;0;0;0;5
Rihu;0;22;4;11
Rotco;3;0;0;0
Rueci;0;0;0;1
Rutu;45;0;8;0
Rytca;5;2;51;0
Sagl;0;0;1;0
Scdu;4;0;0;0
Selho;591;0;27;0
Serme;0;0;2;0
Setpa;0;3;0;0
Solsc;0;29;0;0
Span;0;3;0;0
Speex;3;0;0;0
Sprem;29;0;2;3
Stela;19;38;0;0
Steve;6;0;11;0
Stidi;1;0;0;0
Sypod;1;0;0;0
Talpa;4;38;0;0
Tevo;307;40;67;86
Trigi;0;10;0;0
Trimu;2;0;13;20
Xansa;0;0;0;1
