No;TP;Cod;Ab;HT;DAP;AB
1;T1A;Albzn;8;8;44,23;203,74
2;T1A;Crdal;2;2;5,7;12,86
3;T1A;Cynpf;32;32;183,67;1013,67
4;T1A;Frdrd;66;66;248,71;996,35
5;T1A;Hrcrp;2;2;5,3;10,96
6;T1A;Mchrmml;3;3;13,15;50,08
7;T1A;Mlccb;1;1;4,18;13,63
8;T1A;Prspj;1;1;2,61;5,31
9;T1A;Snglp;1;1;7;38,22
10;T1A;Vchlt;1;1;2,5;4,88
11;T1B;Albzn;13;13;119,89;1094,53
12;T1B;Brsrs;2;2;5,45;11,66
13;T1B;Ccclo;1;1;2,97;6,88
14;T1B;Crdal;21;21;260,94;3521,97
15;T1B;Cynpf;105;105;538,32;3736,79
16;T1B;Frdrd;58;58;201,15;573,84
17;T1B;Hrcrp;1;1;3,19;7,94
18;T1B;Mchrmml;6;6;40,4;298,76
19;T1B;Prspj;1;1;28,62;638,90
20;T1B;Snglp;4;4;56,96;1164,99
21;T1C;Albzn;9;9;77,8;666,53
22;T1C;Crdal;15;15;226,87;3279,33
23;T1C;Cynpf;108;108;571,09;3184,26
24;T1C;Entrc;3;3;15,99;75,40
25;T1C;Frdrd;31;31;104,4;289,62
26;T1C;Lcytm;3;3;22,76;232,50
27;T1C;Mchrmml;17;17;120,04;880,48
28;T1C;Snglp;4;4;46,34;755,69
29;T1D;Albzn;16;16;168,54;1669,11
30;T1D;Brsrs;2;2;6,2;15,24
31;T1D;Cbpnt;1;1;9,32;67,75
32;T1D;Cltrp;3;3;12,85;47,35
33;T1D;Crdal;9;9;62,02;429,13
34;T1D;Cynpf;82;82;412,932;2396,87
35;T1D;Entrc;2;2;35,94;523,64
36;T1D;Frdrd;25;25;74,57;182,66
37;T1D;Hrcrp;1;1;3,11;7,54
38;T1D;Lcytm;1;1;2,5;4,88
39;T1D;Mchrmmc;1;1;2,72;5,77
40;T1D;Mchrmml;16;16;80,73;404,19
41;T1D;Prspj;3;3;20,01;118,35
42;T1D;Psnac;9;9;48,58;308,46
43;T1D;Pthcr;2;2;15,88;100,34
44;T1D;Snglp;21;21;174,42;1632,71
45;T1E;Albzn;20;20;247,5;3080,31
46;T1E;Albzs;1;1;3,8;11,26
47;T1E;Brsrs;1;1;3,25;8,24
48;T1E;Ccclo;2;2;12,17;62,73
49;T1E;Cllcl;1;1;3,04;7,21
50;T1E;Crdal;14;14;172,99;2282,09
51;T1E;Cslpp;1;1;2,67;5,56
52;T1E;Cynpf;80;80;367,65;1718,64
53;T1E;Frdrd;15;15;46,54;119,93
54;T1E;Mchrmmc;4;4;35;439,83
55;T1E;Mchrmml;19;19;91,11;398,68
56;T1E;Mlpgg;1;1;2,5;4,88
57;T1E;Pllnf;2;2;5,93;14,05
58;T1E;Pllnm;1;1;2,59;5,23
59;T1E;Prspj;2;2;6,77;17,88
60;T1E;Psnac;3;3;25,91;195,65
61;T1E;Snglp;12;12;135,89;1722,62
62;T1F;Albzn;11;11;130,63;1621,84
63;T1F;Albzs;2;2;43,97;1090,42
64;T1F;Brsrs;1;1;4,95;19,11
65;T1F;Ccclo;1;1;5,74;25,70
66;T1F;Crdal;16;16;225,45;3219,77
67;T1F;Crdcl;1;1;2,58;5,19
68;T1F;Cynpf;86;86;446,43;2736,16
69;T1F;Frdrd;11;11;33,4;82,62
70;T1F;Lcytm;2;2;11,72;55,26
71;T1F;Mchrmml;19;19;102,09;542,02
72;T1F;Prspj;2;2;11,61;62,05
73;T1F;Psnac;4;4;24,21;130,39
74;T1F;Snglp;10;10;155,83;2795,98
75;T1G;Albzn;23;23;237,58;2713,41
76;T1G;Albzs;1;1;9,2;66,02
77;T1G;Brsrs;1;1;2,5;4,88
78;T1G;Ccclo;5;5;20,97;82,23
79;T1G;Cllcl;2;2;6,2;15,38
80;T1G;Crdal;15;15;172,09;2147,04
81;T1G;Crdcl;2;2;21,79;215,31
82;T1G;Cynpf;62;62;331,774;1718,37
83;T1G;Frdrd;8;8;27,21;75,97
84;T1G;Gzmul;1;1;21,31;354,21
85;T1G;Lcytm;2;2;8,31;27,04
86;T1G;Mchrmml;9;9;43,88;210,41
87;T1G;Mlccb;1;1;4,5;15,80
88;T1G;Pllnm;1;1;5,32;22,08
89;T1G;Psnac;3;3;16,33;81,03
90;T1G;Pthch;1;1;2,54;5,03
91;T1G;Pthcl;1;1;2,5;4,88
92;T1G;Snglp;16;16;182,31;2543,64
93;T1H;Albzn;13;13;195,6;3583,40
94;T1H;Ccclo;4;4;21,14;94,60
95;T1H;Crdal;35;35;334,88;3515,66
96;T1H;Cynpf;80;80;353,53;1517,64
97;T1H;Frdrd;11;11;37,79;111,05
98;T1H;Hndri;2;2;13,61;82,75
99;T1H;Lcytm;1;1;2,84;6,29
100;T1H;Mchrmml;7;7;30,9;127,28
101;T1H;Pllnf;2;2;5,17;10,44
102;T1H;Pllnm;1;1;3,57;9,94
103;T1H;Psnac;1;1;3,98;12,36
104;T1H;Pthcl;10;10;59,19;356,43
105;T1H;Snglp;22;22;205,15;3083,44
106;T1I;Albzn;9;9;93,76;963,74
107;T1I;Ccclo;1;1;4,13;13,30
108;T1I;Crdal;86;86;574,41;4558,81
109;T1I;Crdcl;6;6;26,54;93,52
110;T1I;Cynpf;53;53;261,67;1399,46
111;T1I;Frdrd;10;10;30,45;75,79
112;T1I;Mchrmml;10;10;48,02;204,94
113;T1I;Prspj;4;4;43,23;451,36
114;T1I;Psnac;4;4;28,5;175,00
115;T1I;Pthcl;1;1;5,66;24,99
116;T1I;Snglp;15;15;161,4;2307,46
117;T1J;Albzn;9;9;118,64;1932,02
118;T1J;Ccclo;1;1;4,29;14,36
119;T1J;Crdal;107;107;803,198189;7522,96
120;T1J;Crdcl;2;2;7,64;25,48
121;T1J;Cynpf;36;36;176,0580315;833,35
122;T1J;Frdrd;28;28;111,6473228;418,56
123;T1J;Gzmul;2;2;17;168,87
124;T1J;Lcytm;1;1;2,984251969;6,95
125;T1J;Mchrmml;13;13;60,94653543;314,86
126;T1J;Mlccb;1;1;7,775590551;47,16
127;T1J;Pllnm;2;2;8,25;29,94
128;T1J;Psnac;2;2;7,794330709;25,39
129;T1J;Pthcl;2;2;15,56;125,32
130;T1J;Pthcr;1;1;2,5;4,88
131;T1J;Snglp;7;7;58,55;500,50
132;T1J;Vchlt;1;1;4,68;17,08
133;T2A;Albzn;3;3;71,8253094;1238,67
134;T2A;Crdal;14;14;354,7415673;2146,32
135;T2A;Cynpf;139;139;1925,404507;5683,99
136;T2A;Frdrd;33;33;199,8901408;687,46
137;T2A;Mchrmmc;5;5;80,787;301,70
138;T2A;Mlccb;1;1;33,14;154,22
139;T2A;Pllnm;1;1;5,092946269;20,23
140;T2A;Prspj;1;1;19,73516679;107,16
141;T2A;Pthcr;10;10;121,5268105;246,94
142;T2A;Qdrlo;1;1;2,702;5,69
143;T2B;Albzn;4;4;105,605602;1708,19
144;T2B;Brsrs;1;1;9,341;68,06
145;T2B;Ccclo;4;4;32,366;65,84
146;T2B;Cpprf;2;2;64,03;327,92
147;T2B;Crdal;23;23;901,2950222;11657,32
148;T2B;Cynpf;207;207;2543,723908;11221,85
149;T2B;Frdrd;53;53;278,1817869;1059,13
150;T2B;Mchrmmc;5;5;23,08973873;45,84
151;T2B;Mrsdm;1;1;2,5220918;1,75
152;T2B;Pllnm;1;1;3,177;4,05
153;T2B;Prspj;1;1;64,80774128;570,34
154;T2B;Pthcr;1;1;2,864782277;3,47
155;T2B;Snglp;2;2;19,567;143,32
156;T2C;Albzn;9;9;192,614301;2835,93
157;T2C;Cbpnt;1;1;4,364;14,85
158;T2C;Cllcl;1;1;6,143;21,46
159;T2C;Crdal;13;13;433,9760446;2531,16
160;T2C;Crsfr;2;2;13,728;73,54
161;T2C;Cynpf;190;190;2003,950123;5044,33
162;T2C;Entrc;1;1;23,25248281;421,73
163;T2C;Frdrd;29;29;141,8533606;431,39
164;T2C;Frdrp;1;1;5,568;8,15
165;T2C;Gzmul;1;1;4,522;2,02
166;T2C;Lcytm;2;2;51,75303769;316,54
167;T2C;Mchrmmc;12;12;219,7006175;824,63
168;T2C;Psnac;1;1;3,364;1,99
169;T2C;Snglp;2;2;66,279;673,46
170;T2D;Albzn;17;17;292,826;3512,03
171;T2D;Bctrg;1;1;4,9;3,22
172;T2D;Brsrs;3;3;39,958;524,55
173;T2D;Cbpnt;2;2;18,8;139,73
174;T2D;Cllcl;1;1;19,102;110,97
175;T2D;Cltrp;1;1;13,2;135,91
176;T2D;Crdal;17;17;182,798;785,80
177;T2D;Cynpf;118;118;1156,190337;2987,60
178;T2D;Entrc;2;2;49,614;1562,57
179;T2D;Frdrd;14;14;49,292;112,78
180;T2D;Hrcrp;1;1;6,07;28,74
181;T2D;Lcytm;4;4;17,4;63,23
182;T2D;Mchrmmc;3;3;10,22801375;20,45
183;T2D;Mchrmml;12;12;90,151;281,29
184;T2D;Mlpgg;1;1;3,12;7,59
185;T2D;Prspj;2;2;12,763;47,93
186;T2D;Psnac;1;1;11,68194551;13,65
187;T2D;Pthcr;2;2;23,359;34,13
188;T2D;Snglp;7;7;118,854;1320,32
189;T2D;Vchlm;2;2;36,265;551,30
190;T2E;Albzn;13;13;294,7890214;4710,63
191;T2E;Astrg;3;3;13,451;49,97
192;T2E;Ccclo;1;1;23,876;37,45
193;T2E;Crdal;20;20;467,0638304;2757,11
194;T2E;Cslpp;3;3;14,1448213;42,81
195;T2E;Csrcr;1;1;4,71;6,97
196;T2E;Cynpf;126;126;1266,920933;3574,42
197;T2E;Entrc;2;2;37,841;374,65
198;T2E;Frdrd;16;16;98,9121617;276,22
199;T2E;Mchrmmc;23;23;158,3904632;411,94
200;T2E;Mlpgg;1;1;12,182;26,59
201;T2E;Prspj;2;2;19,45434174;103,93
202;T2E;Psnac;4;4;33,873;86,28
203;T2E;Pthcl;1;1;12,2;30,61
204;T2E;Pthcr;2;2;12,03;26,51
205;T2E;Snglp;15;15;112,6254962;709,89
206;T2F;Albzn;11;10;188,6491996;2557,52
207;T2F;Albzs;1;1;112,6814362;2179,65
208;T2F;Astrg;1;1;7,5;43,88
209;T2F;Brsrs;4;4;24,305;73,77
210;T2F;Ccclo;3;2;44,2724;99,13
211;T2F;Crdal;12;12;408,076;2111,85
212;T2F;Crdcl;1;1;3,2;7,99
213;T2F;Cynpf;107;102;1169,768046;2599,76
214;T2F;Frdrd;9;9;35,669;79,03
215;T2F;Lcytm;3;3;21,74;96,15
216;T2F;Mchrmmc;1;1;21,57;181,87
217;T2F;Mchrmml;10;10;65,621;188,86
218;T2F;Mlcha;1;1;9,123;33,16
219;T2F;Mrndr;1;1;2,97;1,43
220;T2F;Prspj;1;1;6,44;16,93
221;T2F;Psnac;2;2;25,78;66,60
222;T2F;Pthch;1;1;5,8;7,35
223;T2F;Pthcl;1;1;4,66;1,95
224;T2F;Pthcr;1;1;17,34;145,12
225;T2F;Qdrlo;1;;3,11942959;7,59
226;T2F;Rsdnc;1;1;28,96;654,17
227;T2F;Snglp;2;2;43,779;406,31
228;T2G;Albzn;20;20;433,0774761;5243,62
229;T2G;Albzs;1;1;63,97;2273,78
230;T2G;Azdri;1;1;2,86;6,38
231;T2G;Brsrs;3;3;86,70217774;3979,60
232;T2G;Ccclo;2;2;30,167;61,58
233;T2G;Crdal;23;23;552,2650028;4366,90
234;T2G;Crdcl;2;2;39,899;212,01
235;T2G;Crscc;1;1;10,038;39,32
236;T2G;Cynpf;106;106;1343,073815;3594,98
237;T2G;Frdrd;10;10;57,907;388,76
238;T2G;Gzmul;2;2;17,421;51,91
239;T2G;Lcytm;2;2;10,474;20,59
240;T2G;Mchrmml;11;11;226,466;4994,54
241;T2G;Mlccb;1;1;3,725;10,82
242;T2G;Mlpgg;2;2;40,747;77,63
243;T2G;Pllnf;2;2;8,842;7,06
244;T2G;Psnac;3;3;39,037;109,37
245;T2G;Pthch;1;1;5,942;10,08
246;T2G;Pthcl;3;3;13,333;24,28
247;T2G;Pthcr;1;1;5,091;5,63
248;T2G;Smlxs;1;1;3,933;3,59
249;T2G;Snglp;13;13;359,7722;9334,67
250;T2H;Albzn;12;12;329,8073033;4348,95
251;T2H;Ccclo;3;3;130,617;2270,07
252;T2H;Cpprf;1;1;16,931;34,08
253;T2H;Crdal;32;32;596,7238062;3394,00
254;T2H;Crtvt;2;2;36,923;154,68
255;T2H;Cynpf;124;124;990,3944393;2689,50
256;T2H;Frdrd;5;5;15,416;37,67
257;T2H;Hndri;3;3;54,85225465;326,59
258;T2H;Lcytm;1;1;5,66;13,33
259;T2H;Mchrmmc;6;6;84,67456634;200,14
260;T2H;Pllnf;1;1;3,289;4,58
261;T2H;Psnac;2;2;13,9066081;38,20
