SECA;LLUVIA
300;4
172;13
150;0
135;36
100;0
100;89
76;4
74;76
64;60
63;33
62;14
60;51
55;48
52;30
49;160
49;67
48;17
45;2
45;23
44;94
36;53
36;53
35;32
34;218
34;4
32;0
32;36
32;0
25;20
25;14
24;0
21;15
20;0
20;37
20;1
19;104
18;21
17;72
16;0
15;27
14;0
14;2
13;0
12;8
12;0
12;0
12;25
11;96
10;8
10;26
9;22
8;25
7;14
7;0
6;48
5;16
5;41
5;7
5;0
5;0
4;17
4;0
4;0
4;89
4;21
4;5
4;8
4;0
3;0
3;0
2;0
1;0
1;16
1;0
0;22
0;140
0;23
0;16
0;19
0;58
0;20
