No;M;GF;Lluvia;Caudal;Ab;Biom;Largo
1;M1;C-F;P1;C1;98;56,05;89,28
2;M2;C-F;P1;C1;198;52,66;236,35
3;M3;C-F;P2;C1;45;11,37;95,75
4;M4;C-F;P2;C2;51;25,26;101,4
5;M5;C-F;P2;C2;3;0,36;9
6;M6;C-F;P2;C2;69;23,59;57,34
7;M7;C-F;P2;C2;31;11,2;28,18
8;M8;C-F;P1;C2;17;2,42;24,48
9;M1;C-R;P1;C1;157;16,18;103,88
10;M2;C-R;P1;C1;385;68,55;632,08
11;M3;C-R;P2;C1;110;64,33;307,84
12;M4;C-R;P2;C2;399;290,51;389,78
13;M5;C-R;P2;C2;206;57,19;197,62
14;M6;C-R;P2;C2;48;14,46;113,33
15;M7;C-R;P2;C2;85;16,12;100,92
16;M8;C-R;P1;C2;72;10,26;123,06
17;M1;D;P1;C1;103;363,35;113,72
18;M2;D;P1;C1;212;240,42;622,42
19;M3;D;P2;C1;63;201,29;301,04
20;M4;D;P2;C2;90;315,47;358,37
21;M5;D;P2;C2;74;153,44;171,79
22;M6;D;P2;C2;71;53,13;77,55
23;M7;D;P2;C2;47;157,5;94,96
24;M8;D;P1;C2;100;480,49;123,17
25;M1;R;P1;C1;191;10,33;42,86
26;M2;R;P1;C1;139;133,99;176,81
27;M3;R;P2;C1;20;27,64;78,63
28;M4;R;P2;C2;56;35,67;43,55
29;M5;R;P2;C2;8;2,38;8,87
30;M6;R;P2;C2;50;27,24;40,05
31;M7;R;P2;C2;29;16,52;19,04
32;M8;R;P1;C2;15;16,04;39,57
33;M1;T;P1;C1;9;23,44;36,9
34;M2;T;P1;C1;163;531,74;592,14
35;M3;T;P2;C1;81;532,96;327,96
36;M4;T;P2;C2;73;164,46;246,57
37;M5;T;P2;C2;8;3,13;31,53
38;M6;T;P2;C2;10;36,47;75,8
39;M7;T;P2;C2;7;18,48;36,35
40;M8;T;P1;C2;10;15,25;49,07
